Id,Author,Title,OpenedDate,ClosedDate
1,johndoe,Fix login issue,2023-09-01,2023-09-03
2,janedoe,Add new feature to dashboard,2023-09-02,2023-09-05
3,bobsmith,Refactor user service,2023-09-03,2023-09-06
4,alicejones,Update dependencies,2023-09-04,2023-09-07
5,charliebrown,Improve performance of data processing,2023-09-05,2023-09-08
6,davidjohnson,Fix typo in README,2023-09-06,2023-09-06
7,emilywhite,Add unit tests for authentication,2023-09-07,2023-09-10
8,frankblack,Remove deprecated API calls,2023-09-08,2023-09-11
9,gracegreen,Implement caching for API responses,2023-09-09,2023-09-12
10,henryadams,Fix CSS issues on mobile,2023-09-10,2023-09-13
